id,dimensiones,material,carga
1511,6x7x1,Madera,13
2755,5x5x6,Reciclado,43
2879,8x2x10,Plastico,31
2800,9x6x3,Organico,15
2474,8x1x6,Organico,11
2231,5x3x2,Organico,21
2077,1x4x7,Reciclado,23
1989,6x10x3,Reciclado,15
2419,5x1x9,Plastico,38
2750,3x8x5,Madera,30
2023,5x7x2,Reciclado,36
2581,1x1x10,Madera,46
3223,2x4x6,Organico,23
2113,3x3x4,Organico,16
2550,10x4x8,Plastico,22
2874,6x6x3,Madera,49
2459,1x8x6,Organico,6
3292,2x2x7,Reciclado,12
2664,7x7x3,Plastico,20
2086,10x6x3,Reciclado,10
2853,4x3x10,Madera,16
1964,5x7x5,Madera,15
2288,10x5x1,Organico,19
3218,10x7x8,Reciclado,13
3020,2x5x10,Madera,42
9,1x1x7,Organico,12
3335,6x8x5,Reciclado,26
2222,7x8x2,Madera,9
2589,5x6x7,Plastico,28
2511,10x5x4,Plastico,3
1010,5x10x1,Plastico,6
2970,4x5x4,Madera,12
2194,5x9x4,Organico,33
2470,1x7x9,Organico,41
2243,4x4x2,Reciclado,3
1970,1x7x10,Plastico,34
1314,3x2x6,Plastico,18
2114,8x10x1,Plastico,46
2712,8x9x6,Madera,13
2733,4x4x4,Organico,10
2900,3x8x9,Madera,34
42,4x5x3,Madera,2
2520,8x9x8,Plastico,41
2655,3x2x7,Madera,27
2753,9x5x9,Reciclado,42
2871,9x6x4,Reciclado,21
2488,3x5x1,Plastico,36
2438,5x6x1,Organico,37
2765,9x9x8,Madera,20
2894,6x3x2,Reciclado,12
817,5x10x2,Reciclado,47
3047,8x3x10,Madera,42
806,9x10x1,Reciclado,50
2631,2x2x1,Madera,39
2460,7x7x6,Madera,43
2382,3x7x8,Reciclado,48
2264,2x7x9,Organico,49
2626,1x8x9,Reciclado,3
3393,4x4x5,Organico,49
1072,1x2x9,Plastico,1
2016,1x5x10,Organico,18
2675,10x1x6,Reciclado,31
3392,3x5x6,Madera,29
945,6x8x1,Madera,50
3183,1x8x9,Plastico,48
3316,9x4x6,Madera,38
2616,10x10x1,Madera,19
2649,4x9x5,Madera,12
1203,9x8x4,Plastico,24
3340,1x5x3,Madera,2
3380,5x5x1,Reciclado,1
2117,7x5x1,Plastico,18
2370,4x4x3,Organico,13
891,8x3x8,Madera,37
3334,5x10x5,Madera,27
1530,4x8x3,Organico,47
1383,7x1x4,Reciclado,33
2015,1x5x9,Plastico,34
2237,9x1x8,Plastico,33
2512,3x3x4,Madera,33
3050,4x4x10,Plastico,39
2116,10x6x4,Reciclado,4
2414,9x3x10,Plastico,40
2185,1x5x7,Reciclado,44
2007,6x10x2,Reciclado,15
2901,7x8x5,Plastico,43
2681,4x3x5,Organico,18
3201,8x9x7,Madera,41
3151,8x10x7,Reciclado,35
2325,9x3x10,Organico,43
2872,5x5x2,Reciclado,4
2651,4x7x8,Reciclado,10
1479,9x6x3,Organico,45
2828,8x9x2,Reciclado,45
1444,4x2x5,Reciclado,7
3287,3x3x8,Reciclado,24
2033,3x9x6,Organico,30
2794,8x9x9,Plastico,26
2903,5x2x9,Madera,48
2297,9x8x7,Organico,41
2556,6x9x8,Plastico,33
2918,10x7x4,Madera,11
1994,2x1x7,Reciclado,43
2412,3x7x5,Madera,15
2642,7x8x3,Organico,10
1321,8x10x7,Reciclado,16
2014,5x3x9,Plastico,11
3075,6x3x1,Organico,39
2371,4x10x8,Madera,25
2715,8x3x9,Plastico,34
2563,8x6x2,Organico,43
3217,10x9x7,Reciclado,21
2697,6x8x1,Organico,11
2072,9x1x5,Reciclado,35
3109,10x1x5,Reciclado,1
3295,4x6x7,Plastico,25
1025,7x4x2,Reciclado,37
2305,7x3x6,Plastico,43
2791,8x5x8,Reciclado,42
2548,4x7x3,Organico,26
936,8x2x7,Plastico,44
3457,9x2x8,Organico,10
3090,5x8x6,Plastico,20
828,5x4x9,Madera,15
1552,1x10x4,Plastico,23
1260,2x4x9,Organico,37
2272,10x4x1,Madera,41
2302,8x5x4,Organico,37
3453,6x1x3,Reciclado,39
979,4x5x2,Madera,13
2531,1x6x2,Madera,2
2751,9x3x9,Plastico,38
2137,3x4x8,Organico,1
953,2x8x9,Plastico,41
2844,7x1x7,Organico,50
1301,3x5x2,Organico,32
3348,5x8x1,Madera,12
3452,6x4x3,Madera,24
2413,2x2x3,Plastico,41
2107,4x1x2,Organico,13
1173,7x1x10,Organico,13
2521,4x3x9,Plastico,13
2472,2x6x10,Reciclado,44
1456,10x6x9,Plastico,8
2873,4x4x10,Reciclado,2
1959,3x1x5,Madera,27
1291,9x2x8,Reciclado,38
3121,9x1x9,Madera,24
2961,8x5x3,Madera,38
1369,3x2x3,Plastico,2
1329,4x9x5,Reciclado,25
2510,5x9x7,Reciclado,20
2343,5x6x3,Organico,25
2861,9x8x8,Reciclado,14
3443,10x6x4,Madera,10
3031,4x1x3,Organico,8
2064,8x2x7,Madera,10
3160,10x1x6,Plastico,25
3377,3x6x4,Madera,47
3133,1x10x4,Reciclado,40
2289,6x3x7,Organico,5
3447,10x5x7,Plastico,34
2822,8x2x1,Plastico,1
3046,4x8x10,Reciclado,32
831,4x8x6,Plastico,9
2311,5x6x8,Madera,47
2417,8x7x10,Plastico,31
2915,6x3x3,Plastico,46
2640,7x5x4,Plastico,26
2501,9x6x2,Reciclado,15
3250,8x6x10,Plastico,5
3322,1x6x7,Organico,11
2734,5x4x5,Organico,42
2299,1x4x10,Madera,46
3423,2x3x4,Reciclado,42
2591,9x10x4,Madera,29
2772,1x10x10,Reciclado,15
3063,5x2x8,Madera,16
2858,8x5x5,Plastico,33
2518,1x8x10,Plastico,6
820,2x2x5,Madera,8
2833,2x3x6,Plastico,28
965,7x2x5,Plastico,27
12,4x7x8,Reciclado,35
1330,2x5x4,Madera,45
2103,10x6x7,Plastico,5
3149,2x9x6,Reciclado,38
2868,7x9x2,Reciclado,22
1216,3x6x10,Plastico,36
2951,1x10x5,Organico,24
3096,3x10x1,Organico,35
3421,3x8x9,Organico,14
990,4x5x1,Plastico,5
2401,8x10x3,Reciclado,36
2840,8x3x8,Organico,20
3073,10x1x8,Reciclado,10
1505,4x2x6,Reciclado,15
2416,8x6x6,Organico,14
2804,8x1x2,Plastico,31
2389,6x6x7,Plastico,40
2666,3x7x10,Madera,11
3366,6x4x6,Organico,39
1370,5x1x8,Plastico,36
2784,6x2x2,Plastico,36
2668,5x5x6,Plastico,24
2896,2x2x6,Madera,12
2601,6x7x8,Organico,16
3039,10x2x1,Organico,49
3164,4x3x9,Madera,9
2958,10x6x10,Madera,35
3034,4x9x9,Madera,37
2749,5x10x5,Organico,10
997,7x3x6,Plastico,26
1381,4x7x3,Organico,36
2423,1x8x7,Reciclado,28
3363,8x1x3,Reciclado,20
2572,1x5x3,Madera,45
1992,2x9x6,Reciclado,50
3309,2x8x5,Plastico,16
3098,4x9x9,Plastico,38
2196,4x10x3,Reciclado,10
2351,10x7x7,Organico,24
2347,3x6x6,Organico,48
2144,5x1x5,Reciclado,34
1273,4x7x9,Plastico,29
2437,9x9x4,Plastico,16
1311,6x7x10,Organico,18
3186,6x8x10,Reciclado,5
1182,6x8x8,Plastico,5
2349,10x8x8,Plastico,38
3091,4x9x7,Plastico,44
3095,4x6x3,Organico,15
7,9x1x7,Plastico,18
3289,9x4x9,Madera,25
1953,6x3x10,Madera,8
1158,1x3x6,Organico,44
1957,8x4x6,Madera,48
2857,9x4x7,Madera,7
2890,1x10x7,Madera,6
959,10x6x1,Organico,42
1463,7x2x10,Madera,1
3065,2x6x6,Organico,25
3195,4x2x6,Madera,49
2096,7x4x2,Reciclado,45
3136,8x2x3,Madera,17
3061,7x6x9,Plastico,47
2394,8x2x7,Organico,17
3365,4x5x4,Plastico,16
2392,5x2x10,Plastico,5
2984,3x5x5,Plastico,26
893,7x6x8,Reciclado,14
2696,5x8x7,Plastico,3
2395,10x5x10,Organico,5
3148,7x9x5,Madera,40
2115,6x3x8,Madera,41
1499,2x6x3,Organico,16
2101,5x10x8,Plastico,31
1488,3x6x7,Reciclado,23
3410,8x2x8,Plastico,16
3194,4x10x1,Organico,2
1149,4x7x9,Plastico,46
2360,3x3x3,Plastico,18
2976,3x10x10,Reciclado,37
2439,1x3x1,Madera,4
2341,6x8x2,Reciclado,42
3102,7x8x3,Madera,36
2897,10x8x9,Organico,34
2559,5x1x10,Reciclado,36
2720,9x7x3,Reciclado,40
2048,3x6x7,Reciclado,27
3448,5x4x8,Madera,13
1340,10x5x4,Plastico,21
1580,1x8x6,Reciclado,39
1310,9x3x7,Plastico,16
2355,3x2x3,Organico,36
1363,2x9x2,Organico,25
3369,2x10x10,Reciclado,44
3067,10x3x9,Reciclado,33
1588,1x5x3,Organico,49
2447,2x2x10,Organico,30
3003,8x1x8,Organico,32
2516,1x7x8,Plastico,49
3081,2x10x4,Madera,33
2625,6x4x2,Plastico,2
2839,6x3x3,Madera,2
2946,6x9x7,Madera,24
2638,2x10x4,Organico,50
872,9x6x6,Organico,29
1167,5x10x7,Madera,3
2708,6x2x10,Plastico,43
2787,5x10x2,Organico,21
2366,10x10x10,Reciclado,30
912,7x4x5,Madera,49
2653,5x2x10,Organico,18
1187,4x4x1,Plastico,46
1586,2x6x5,Madera,29
3361,3x10x9,Plastico,44
3032,4x2x3,Reciclado,21
1066,3x4x3,Plastico,33
2560,7x9x10,Plastico,15
3282,2x4x6,Plastico,23
2041,6x10x5,Reciclado,16
2138,8x3x1,Plastico,10
3299,1x1x9,Reciclado,30
2450,4x7x7,Madera,45
993,9x7x5,Reciclado,20
2959,7x4x2,Madera,8
2756,6x6x4,Madera,46
2212,4x3x1,Reciclado,48
3225,9x8x3,Madera,45
2483,2x5x1,Plastico,15
1955,8x4x3,Madera,10
3054,4x4x2,Reciclado,13
2387,9x4x9,Plastico,47
2678,2x1x8,Madera,38
2280,3x9x3,Reciclado,13
3427,6x10x3,Madera,49
2972,8x1x5,Plastico,14
3312,10x6x1,Organico,33
3181,1x8x4,Reciclado,45
3227,2x10x10,Madera,10
3185,7x9x7,Organico,23
2703,9x4x9,Organico,37
6,1x9x1,Plastico,43
2788,9x7x8,Organico,41
3155,6x5x8,Madera,4
3269,1x5x7,Madera,41
2578,4x1x3,Organico,3
1094,8x8x9,Organico,12
2622,10x7x8,Plastico,38
2275,5x2x6,Plastico,49
3229,5x10x9,Reciclado,15
2502,3x4x5,Organico,8
882,8x3x1,Plastico,15
1379,2x7x10,Organico,28
2403,6x5x10,Reciclado,35
1976,10x1x1,Reciclado,14
2433,4x7x4,Madera,44
3173,2x4x7,Reciclado,5
1183,6x8x9,Madera,24
2425,3x1x4,Madera,46
1256,5x4x2,Madera,36
926,4x10x10,Plastico,20
2162,2x10x9,Organico,16
2975,6x4x4,Madera,31
2676,10x9x2,Reciclado,42
923,1x5x5,Reciclado,17
2514,2x2x2,Reciclado,35
2490,4x8x8,Organico,4
921,5x6x10,Organico,27
3018,6x7x3,Madera,15
2254,8x8x9,Plastico,29
2523,4x8x4,Reciclado,29
2345,9x4x4,Organico,29
2607,6x4x9,Plastico,4
1504,4x1x3,Organico,23
2190,3x9x8,Plastico,48
2786,5x9x9,Plastico,43
807,3x8x1,Madera,28
